materialnummer;bezeichnung
2;100 Kronen
4;Ronde 100 Kronen Oxyd.GGL GEB
5;Ronde 100 Kronen Oxyd.GGL GEB
6;100 Kronen  geprägt
7;100 Kronen MÖ
9;20 Kronen
10;Ronde  20 Kronen just
11;Ronde 20 Kronen PF ROL GBZ
12;20  Kronen  geprägt
13;20 Kronen MÖ
15;10 Kronen
16;Ronde  10 Kronen just
17;Ronde 10 Kronen PF ROL GBZ
18;10 Kronen geprägt
19;10 Kronen MÖ
20;8 Gulden
21;Ronde 8 Gulden Oxyd.GGL GEB
22;Ronde 8 Gulden prägefertig  ROL GBZ
23;8 Gulden geprägt
24;8 Gulden MÖ
25;4 Gulden
27;Ronde 4 Gulden prägefertig  ROL GBZ
28;4 Gulden geprägt
29;4 Gulden MÖ
30;4-fach Dukaten
31;Ronde 4 fach Dukaten ROH
33;4-fach Dukaten geprägt
34;4-fach Dukaten MÖ
35;1-fach Dukaten
36;Ronde 1 fach Dukaten roh
38;1-fach Dukaten geprägt
40;1-fach Dukaten MÖ
41;"1 Unze Au ""Wiener Philharmoniker"""
47;1 Unze Au Wr. Philharmoniker MÖ
50;1/2 Unze Au Wr. Philharmoniker MÖ
54;1/4 Unze Au Wr. Philharmoniker MÖ
57;Maria-Theresien-Taler NP
59;MTT NP  geprägt
64;Maria-Theresien-Taler PP in Blister
66;Maria-Theresien-Taler PP im Doserl
69;MTT PP  geprägt
70;Doserl D42/IH3  OT+UT                  B
75;ALT!!! Ronde 20 S NP
76;ALT!!!Versuchsronden neue Serie 20 S
77;ALT!!!Versuchsronde 20 S bicolor
78;Umlaufunfähig 20S
79;Rücklauf 20S neue Serie
80;ALT!!!Rücklaufmat.neue Serie 20S bicolor
83;ALT!!! Ronde 10 S NP
85;Umlaufunfähig 10S unedel
86;ALT!!!Rücklaufmat neue Serie 10 S
89;ALT!!! Ronde 5 S NP
91;Umlaufunfähig 5S unedel
92;ALT!!!Rücklaufmat. neue Serie  5 S
95;ALT!!! Ronde 1 S NP
96;ALT!!!Versuchsro neue Serie 1S  (cuni25)
97;ALT!!Versuchsro neue Serie 1S (cual6ni2)
98;Umlaufunfähig 1S
99;ALT!!!Rücklaufmat.neue Serie1. S(cuni25)
100;ALT!!!Rücklaufmat.neue Serie 1S cual6ni2
103;ALT!!! Ronde 50 GR NP
104;ALT!!!Versuchsronden neue Serie 50 Gr
105;Umlaufunfähig 50Groschen
106;ALT!!!Rücklaufmat.neue Serie 50Gr
109;ALT!!! Ronde 10 GR NP
110;ALT!!!Versuchsro neue Serie 10 Gr
111;Umlaufunfähig 10Groschen
112;ALT!!!Rücklaufmat.neue Serie 10 Gr
116;Umlaufunfähig 5Groschen
119;ALT!!! Ronde 2 GR NP
120;Umlaufunfähig 2Groschen
137;Medaillen-Aluminium
138;Elektrolytkupfergranulat - Recyclingmat.
139;Rücklauf Zinn-Bronze Cu-Sn 6
140;ALT!!!Aluminium Alramag 2
141;ALT!!!Alu-Schrott Alramag 2 unverstaltet
142;ALT!!!Messing MS 63
143;ALT!!!Tombak  MS 90
144;Rücklauf MS90 (Tombak, Br)
145;ALT!!!Rein-Aluminium
147;ALT!!!Rein-Zink
148;ALT!!!Palladium 950
149;Platin 979,0
150;Platin 999,9
151;Gold 999,9 - Festwert
152;ALT!!!Rücklaufmaterial 20 Schilling
153;ALT!!!Rücklaufmaterial 10 Schilling
154;ALT!!!Rücklaufmaterial  5 Schilling
155;ALT!!!Rücklaufmaterial  1 Schilling
156;ALT!!!Rücklaufmaterial 50 Groschen
157;ALT!!!Rücklaufmaterial 20 Groschen
158;ALT!!!Rücklaufmaterial 10 Groschen
159;ALT!!!Rücklaufmaterial  5 Groschen
160;ALT!!!Rücklaufmaterial  2 Groschen
161;ALT!!!Rücklaufmaterial  1 Groschen
162;ALT!!!Reinzinkschrott unverstaltet
174;Umlaufunfähig 1Groschen
176;Doserl D37 GLKL UT                     B
177;Doserl D37 GLKL OT                     B
191;1/10 Unze Au Wr. Philharmoniker MÖ
194;ALT!!!Versuchsronden neue Serie 2 S
195;ALT!!!Doserl f. IOC-Silber .40
196;Schrott CuAl8 (50g+1S)
197;Schrott CuNi (5S)
198;Schrott CuNi-Schichtmetall(10S+50S Pille
199;Schrott CuAlNi (20S+50S-Ring)
218;ALT!!!IOC-Kanada 2 Silber für 15erEtui
219;ALT!!!IOC-KANADA 10erEtui 2Silb,9202
220;ALT!!!IOC-KANADA 5erEtui 1 Gold,9203
221;ALT!!!IOC-KANADA 3erEtui 2S+1G, 9204
224;ALT!!!IOC-KANADA 2erSatz Silber,9205
225;ALT!!!IOC-KANADA 1 Münze  Gold ,9206
226;ALT!!!IOC-KANADA 1 Münze A Silber, 9207
230;ALT!!!IOC-AUSTRAL.15er Erg.1Gold+2Silber
231;ALT!!!IOC-Australien 15er Ergän. 1 Gold
232;ALT!!!IOC-Australien 15er Ergän.2 Silber
233;ALT!!!IOC-AUSTRAL.10er Ergän.2Silber
234;ALT!!!IOC-AUSTRAL.5er Ergän., 1Gold
236;ALT!!!IOC-Australien 3er Etui 1 Gold
237;ALT!!!IOC-Australien 3er Etui 2 Silber
238;ALT!!!IOC-AUSTRALIEN 2erSatz Silber
240;ALT!!!IOC-AUSTRALIEN 1 Münze A Silber
241;ALT!!!IOC-AUSTRALIEN 1 Münze B Silber
